captured_at,date,pitcher_name,team,line,over_odds,under_odds,event_id,start_time_utc
2026-08-11T16:16:09.150569+00:00,2026-08-11,Andre Pallante,STL,3.5,-106,-121,34503129,2026-08-11T23:45:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Cody Bradford,TEX,4.5,-147,+115,34503130,2026-08-12T01:38:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Ryan Johnson (LAA),LAA,4.5,+125,-160,34503130,2026-08-12T01:38:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Mason Barnett,OAK,3.5,+101,-129,34503132,2026-08-12T01:40:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Nick Martinez,TB,3.5,+121,-155,34503132,2026-08-12T01:40:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Mitch Bratt,ARI,4.5,+116,-148,34503131,2026-08-12T01:40:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Tomoyuki Sugano,COL,2.5,-144,+113,34503131,2026-08-12T01:40:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Kyle Harrison,MIL,5.5,+116,-148,34503133,2026-08-12T01:40:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Walker Buehler,SD,4.5,+102,-130,34503133,2026-08-12T01:40:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Hunter Brown,HOU,5.5,-132,+103,34503134,2026-08-12T01:45:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Blake Snell,LAD,6.5,+126,-161,34503135,2026-08-12T02:10:00.0000000Z
2026-08-11T16:16:09.150569+00:00,2026-08-11,Michael Wacha,KC,4.5,+111,-142,34503135,2026-08-12T02:10:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Paul Skenes,PIT,6.5,-151,+118,34503122,2026-08-11T22:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Eury Perez,MIA,6.5,-103,-123,34503122,2026-08-11T22:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Tanner Bibee,CLE,4.5,-118,-108,34503121,2026-08-11T22:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Drew Anderson,DET,3.5,+119,-151,34503121,2026-08-11T22:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Shota Imanaga,CHC,5.5,-101,-127,34503123,2026-08-11T22:45:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Jake Irvin,WSH,4.5,+133,-170,34503123,2026-08-11T22:45:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Ryan Weathers,NYY,6.5,+124,-159,34503124,2026-08-11T23:05:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Bryan Woo,SEA,6.5,+125,-160,34503124,2026-08-11T23:05:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Dylan Cease,TOR,7.5,-147,+115,34503125,2026-08-11T23:07:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Patrick Sandoval,BOS,4.5,+113,-145,34503125,2026-08-11T23:07:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Nolan McLean,NYM,5.5,-153,+120,34503126,2026-08-11T23:15:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Martin Perez,ATL,3.5,-161,+126,34503126,2026-08-11T23:15:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Sean Burke,CWS,7.5,+110,-141,34503127,2026-08-11T23:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Nick Lodolo,CIN,4.5,-118,-108,34503127,2026-08-11T23:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Bailey Ober,MIN,4.5,+106,-136,34503128,2026-08-11T23:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Brandon Young,BAL,4.5,+119,-152,34503128,2026-08-11T23:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Cristopher Sanchez,PHI,5.5,-147,+115,34503129,2026-08-11T23:45:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Andre Pallante,STL,3.5,-106,-121,34503129,2026-08-11T23:45:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Cody Bradford,TEX,4.5,-147,+115,34503130,2026-08-12T01:38:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Ryan Johnson (LAA),LAA,4.5,+125,-160,34503130,2026-08-12T01:38:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Mason Barnett,OAK,3.5,+101,-129,34503132,2026-08-12T01:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Nick Martinez,TB,3.5,+121,-155,34503132,2026-08-12T01:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Mitch Bratt,ARI,4.5,+116,-148,34503131,2026-08-12T01:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Tomoyuki Sugano,COL,2.5,-144,+113,34503131,2026-08-12T01:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Kyle Harrison,MIL,5.5,+116,-148,34503133,2026-08-12T01:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Walker Buehler,SD,4.5,+118,-151,34503133,2026-08-12T01:40:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Hunter Brown,HOU,5.5,-132,+103,34503134,2026-08-12T01:45:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Blake Snell,LAD,6.5,+126,-161,34503135,2026-08-12T02:10:00.0000000Z
2026-08-11T16:25:14.470784+00:00,2026-08-11,Michael Wacha,KC,4.5,+111,-142,34503135,2026-08-12T02:10:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Paul Skenes,PIT,6.5,-151,+118,34503122,2026-08-11T22:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Eury Perez,MIA,6.5,-108,-118,34503122,2026-08-11T22:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Tanner Bibee,CLE,4.5,-118,-108,34503121,2026-08-11T22:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Drew Anderson,DET,3.5,+123,-157,34503121,2026-08-11T22:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Shota Imanaga,CHC,5.5,+116,-148,34503123,2026-08-11T22:45:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Jake Irvin,WSH,4.5,+129,-165,34503123,2026-08-11T22:45:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Bryan Woo,SEA,6.5,+111,-141,34503124,2026-08-11T23:05:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Ryan Weathers,NYY,6.5,+112,-143,34503124,2026-08-11T23:05:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Dylan Cease,TOR,7.5,-147,+115,34503125,2026-08-11T23:07:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Patrick Sandoval,BOS,4.5,+105,-135,34503125,2026-08-11T23:07:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Nolan McLean,NYM,5.5,-156,+122,34503126,2026-08-11T23:15:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Martin Perez,ATL,3.5,-131,+103,34503126,2026-08-11T23:15:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Sean Burke,CWS,7.5,+110,-141,34503127,2026-08-11T23:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Nick Lodolo,CIN,4.5,-118,-108,34503127,2026-08-11T23:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Bailey Ober,MIN,4.5,+102,-130,34503128,2026-08-11T23:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Brandon Young,BAL,4.5,+119,-152,34503128,2026-08-11T23:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Cristopher Sanchez,PHI,6.5,+115,-147,34503129,2026-08-11T23:45:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Andre Pallante,STL,3.5,-119,-108,34503129,2026-08-11T23:45:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Cody Bradford,TEX,4.5,-153,+120,34503130,2026-08-12T01:38:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Ryan Johnson (LAA),LAA,4.5,+131,-168,34503130,2026-08-12T01:38:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Mason Barnett,OAK,3.5,+101,-129,34503132,2026-08-12T01:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Nick Martinez,TB,3.5,+121,-155,34503132,2026-08-12T01:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Mitch Bratt,ARI,4.5,+101,-129,34503131,2026-08-12T01:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Tomoyuki Sugano,COL,2.5,-136,+107,34503131,2026-08-12T01:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Kyle Harrison,MIL,5.5,+112,-143,34503133,2026-08-12T01:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Walker Buehler,SD,4.5,+118,-151,34503133,2026-08-12T01:40:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Hunter Brown,HOU,6.5,+123,-158,34503134,2026-08-12T01:45:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Carson Whisenhunt,SF,3.5,-127,+100,34503134,2026-08-12T01:45:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Blake Snell,LAD,6.5,+126,-161,34503135,2026-08-12T02:10:00.0000000Z
2026-08-11T19:00:55.687451+00:00,2026-08-11,Michael Wacha,KC,4.5,+111,-142,34503135,2026-08-12T02:10:00.0000000Z
