captured_at,date,pitcher_name,team,milestone,odds,event_id,start_time_utc
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,6,-1620,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,7,-650,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,8,-311,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,9,-160,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,10,+112,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,11,+200,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,12,+366,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,13,+650,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jacob Misiorowski,MIL,14,+1180,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,5,-1240,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,6,-490,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,7,-228,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,8,-114,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,9,+166,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,10,+311,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,11,+595,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Chris Sale,ATL,12,+1120,34547331,2026-08-21T20:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,4,-3100,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,5,-960,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,6,-403,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,7,-192,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,8,+102,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,9,+196,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,10,+367,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,11,+690,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Jesus Luzardo,PHI,12,+1340,34547407,2026-08-21T22:40:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,4,-1700,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,5,-572,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,6,-251,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,7,-120,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,8,+165,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,9,+327,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,10,+640,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Cam Schlittler,NYY,11,+1260,34547350,2026-08-21T23:05:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,3,-2000,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,4,-587,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,5,-232,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,6,-105,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,7,+198,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,8,+409,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,9,+830,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Sonny Gray,BOS,10,+1660,34547408,2026-08-21T23:10:00.0000000Z
2026-08-21T16:16:05.369993+00:00,2026-08-21,Logan Webb,SF,2,-3300,34547408,2026-08-21T23:10:00.0000000Z
